,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,class
0,7,5,3,5,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,1
1,7,4,10,2,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0,1
2,7,4,10,6,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,1
3,8,6,3,5,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,1
4,8,6,3,7,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,1
5,8,6,8,7,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,1
6,8,6,8,1,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,1
7,8,6,8,1,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0,1
8,8,6,9,2,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,1
9,7,5,9,6,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,1
10,7,5,9,6,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,1
11,7,5,9,6,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0,1
12,6,5,8,5,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0,1
13,6,5,9,1,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0,1
14,6,5,9,3,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0,1
15,6,5,9,5,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0,1
16,5,5,3,6,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0,1
17,8,5,10,1,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0,1
18,6,4,3,3,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0,1
19,6,4,4,6,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0,1
20,6,4,9,2,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0,1
21,5,4,9,1,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0,1
22,7,4,6,7,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0,1
23,7,4,8,6,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0,1
24,7,4,8,6,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0,1
25,7,4,8,7,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0,1
26,7,4,9,5,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0,1
27,7,4,9,1,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0,1
28,6,3,9,6,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0,1
29,6,3,9,7,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0,1
30,6,3,9,5,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0,1
31,6,3,9,1,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0,1
32,6,3,9,5,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0,1
33,6,3,9,7,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0,1
34,6,3,9,1,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0,1
35,6,3,9,2,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0,1
36,6,3,10,2,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0,1
37,7,4,10,5,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0,1
38,7,3,10,6,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0,1
39,4,4,3,2,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0,1
40,4,4,7,2,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0,1
41,4,4,8,6,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0,1
42,4,4,8,2,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0,1
43,4,4,9,6,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,0.0,1
44,4,4,9,3,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0,1
45,5,6,9,3,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0,1
46,5,6,9,1,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0,1
47,6,6,7,1,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0,1
48,4,4,3,1,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0,1
49,4,4,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0,1
50,4,4,9,4,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0,0.0,1
51,4,3,8,7,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,0.0,1
52,4,3,8,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,1
53,4,3,8,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,1
54,4,3,8,4,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,0.0,1
55,4,3,9,4,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0,1
56,4,3,9,2,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0,1
57,4,3,10,7,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,0.0,1
58,2,2,2,1,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0,1
59,2,2,2,5,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0,1
60,2,2,3,7,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0,1
61,2,2,3,7,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0,1
62,2,2,8,4,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0,1
63,2,2,8,7,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0,1
64,2,2,8,1,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,0.0,1
65,2,2,8,4,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0,1
66,2,2,9,5,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0,1
67,2,2,9,5,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0,1
68,2,2,9,5,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0,1
69,4,5,3,5,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0,1
70,4,5,3,5,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0,0.0,1
71,4,5,9,5,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0,1
72,5,4,3,5,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0,1
73,5,4,8,2,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0,1
74,5,4,9,5,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0,1
75,9,9,2,4,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0,1
76,9,9,2,5,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0,1
77,1,3,3,1,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0,1
78,1,2,8,5,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0,1
79,1,2,8,2,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0,1
80,1,2,8,7,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0,0.0,1
81,1,2,8,7,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0,1
82,1,2,8,2,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0,1
83,1,2,8,3,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0.0,1
84,1,2,8,4,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0,1
85,1,2,9,4,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0,1
86,1,2,9,4,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0,1
87,1,2,9,4,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0,1
88,1,2,9,7,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,0.0,1
89,6,5,3,6,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0,1
90,6,5,8,6,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0,1
91,8,6,3,5,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0,1
92,8,6,8,7,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0,1
93,8,6,8,7,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,0.0,1
94,8,6,8,1,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0,1
95,4,4,9,7,89.7,90.0,704.4,4.8,17.8,64,1.3,0.0,0.0,1
96,3,4,2,6,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,0.0,1
97,3,4,3,6,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0,0.0,1
98,3,4,8,7,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0,1
99,3,4,8,7,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0,1
100,3,4,8,7,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0,1
101,3,4,8,2,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0,1
102,2,4,8,2,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0,1
103,2,4,9,6,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0,1
104,2,4,1,6,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,0.0,1
105,4,5,3,5,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,0.0,1
106,4,5,3,4,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,0.0,1
107,4,5,8,7,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0.0,1
108,4,5,9,6,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0,1
109,4,5,9,1,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0,1
110,4,4,3,5,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0,1
111,3,4,3,5,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0,1
112,3,4,9,7,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,0.0,1
113,3,4,9,1,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0,1
114,3,4,3,2,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0,1
115,3,5,3,2,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0,1
116,3,4,3,6,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0.0,1
117,3,4,3,6,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,0.0,1
118,3,4,3,1,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,0.0,1
119,3,4,8,4,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0,1
120,3,4,8,1,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,0.0,1
121,3,4,8,1,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0,0.0,1
122,3,4,9,7,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0,0.0,1
123,3,4,9,2,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0,1
124,3,4,9,5,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0.0,1
125,3,4,10,7,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,0.0,1
126,3,5,3,1,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,0.0,1
127,3,5,9,5,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,0.0,1
128,3,5,10,3,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0.0,1
129,2,5,10,7,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0,1
130,4,6,2,6,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0,1
131,4,6,3,1,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0,1
132,4,6,3,7,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0,1
133,4,6,9,4,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0,1
134,3,5,3,2,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0,0.0,1
135,3,5,8,6,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0,1
136,3,6,9,7,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,0.0,1
137,3,6,9,1,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0.0,1
138,9,9,7,2,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.36,1
139,1,4,9,2,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43,1
140,2,5,9,1,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47,1
141,1,2,8,3,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55,1
142,8,6,8,5,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61,1
143,1,2,7,6,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71,1
144,2,5,8,3,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77,1
145,6,5,8,4,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9,1
146,5,4,3,1,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,0.95,1
147,8,3,9,2,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96,1
148,2,2,8,2,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0,1.07,1
149,8,6,9,4,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12,1
150,6,5,6,5,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19,1
151,9,9,7,7,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36,1
152,3,4,7,6,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43,1
153,5,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46,1
154,1,5,9,6,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46,1
155,7,4,8,7,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56,1
156,2,4,9,6,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61,1
157,2,2,8,3,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63,1
158,2,4,8,3,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64,1
159,7,4,9,5,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69,1
160,7,4,3,1,90.1,39.7,86.6,6.2,16.1,29,3.1,0.0,1.75,1
161,6,4,8,4,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9,1
162,6,3,3,6,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,1.94,1
163,8,6,9,6,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95,1
164,8,5,9,7,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01,1
165,6,5,3,4,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14,1
166,6,5,8,3,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,2.29,1
167,6,5,8,3,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51,1
168,6,5,3,5,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53,1
169,8,6,8,4,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,2.55,1
170,5,4,9,3,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57,1
171,8,6,8,3,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0,2.69,1
172,7,4,8,7,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74,1
173,4,4,9,1,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07,1
174,1,4,8,6,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,3.5,1
175,1,4,8,6,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53,1
176,6,5,4,4,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,4.61,1
177,2,5,8,7,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69,1
178,2,5,9,3,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88,1
179,8,6,8,2,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,5.23,1
180,1,3,9,7,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33,1
181,8,6,10,1,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,5.44,1
182,5,4,2,7,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,6.38,1
183,7,4,10,1,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,6.83,1
184,8,6,8,5,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96,1
185,2,5,9,2,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,7.04,1
186,8,6,3,7,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,7.19,1
187,1,5,9,1,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3,1
188,6,4,3,6,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,7.4,1
189,7,4,3,7,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24,1
190,6,5,3,5,91.2,48.3,97.8,12.5,11.7,33,4.0,0.0,8.31,1
191,2,5,8,4,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,8.68,1
192,2,2,8,2,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,8.71,1
193,4,5,9,3,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0,9.41,1
194,2,2,8,2,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,10.01,1
195,2,5,8,5,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02,1
196,6,5,4,4,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,10.93,1
197,4,5,9,4,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,11.06,1
198,3,4,9,2,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24,1
199,2,4,9,1,63.5,70.8,665.3,0.8,22.6,38,3.6,0.0,11.32,1
200,1,5,9,2,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,11.53,1
201,6,5,3,7,90.1,37.6,83.7,7.2,12.4,54,3.6,0.0,12.1,1
202,7,4,2,7,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0,13.05,1
203,8,6,10,3,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,13.7,1
204,5,6,3,6,90.6,50.1,100.4,7.8,15.1,64,4.0,0.0,13.99,1
205,4,5,9,4,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,14.57,1
206,2,2,8,6,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,15.45,1
207,7,5,9,2,91.0,129.5,692.6,7.0,20.7,37,2.2,0.0,17.2,1
208,6,5,9,5,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23,1
209,8,3,9,4,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41,2
210,4,4,10,6,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23,2
211,7,4,8,6,93.5,139.4,594.2,20.3,5.1,96,5.8,0.0,26.0,2
212,7,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13,2
213,7,3,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,27.35,2
214,4,4,3,6,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66,2
215,4,4,3,6,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66,2
216,4,4,9,7,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,29.48,2
217,1,3,9,1,88.6,91.8,709.9,7.1,12.4,73,6.3,0.0,30.32,2
218,4,5,9,3,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0,31.72,2
219,6,5,3,1,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0,31.86,2
220,8,6,8,7,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,32.07,2
221,3,4,9,5,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,35.88,2
222,4,3,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85,2
223,2,2,7,5,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,37.02,2
224,7,4,9,3,90.1,82.9,735.7,6.2,15.4,57,4.5,0.0,37.71,2
225,4,4,9,7,93.5,149.3,728.6,8.1,22.9,39,4.9,0.0,48.55,3
226,7,5,10,1,91.7,48.5,696.1,11.1,16.1,44,4.0,0.0,49.37,3
227,8,6,8,6,92.2,81.8,480.8,11.9,20.1,34,4.5,0.0,58.3,3
228,4,6,9,7,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1,3
229,8,6,8,6,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,71.3,3
230,4,4,9,3,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,88.49,4
231,1,5,9,7,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18,4
232,6,4,9,2,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,103.39,4
233,9,4,9,2,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,105.66,4
234,4,5,9,6,92.5,121.1,674.4,8.6,17.7,25,3.1,0.0,154.88,5
235,8,6,8,7,91.4,142.4,601.4,10.6,19.6,41,5.8,0.0,196.48,5
236,2,2,9,6,92.5,121.1,674.4,8.6,18.2,46,1.8,0.0,200.94,5
237,1,2,9,2,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0,212.88,5
238,7,5,4,7,81.9,3.0,7.9,3.5,13.4,75,1.8,0.0,0.0,1
239,6,3,4,3,88.0,17.2,43.5,3.8,15.2,51,2.7,0.0,0.0,1
240,4,4,4,5,83.0,23.3,85.3,2.3,16.7,20,3.1,0.0,0.0,1
241,2,4,8,7,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,10.13,1
242,7,4,8,7,91.8,175.1,700.7,13.8,21.9,73,7.6,1.0,0.0,1
243,2,4,8,7,91.8,175.1,700.7,13.8,22.4,54,7.6,0.0,2.87,1
244,3,4,8,7,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,0.76,1
245,5,4,8,7,91.8,175.1,700.7,13.8,25.7,39,5.4,0.0,0.09,1
246,2,4,8,3,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.75,1
247,8,6,8,3,93.1,157.3,666.7,13.5,28.7,28,2.7,0.0,0.0,1
248,3,4,8,3,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47,1
249,8,5,8,3,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68,1
250,8,5,8,3,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0,0.24,1
251,6,5,8,3,93.1,157.3,666.7,13.5,22.1,37,3.6,0.0,0.21,1
252,7,4,8,4,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0,1.52,1
253,6,3,8,4,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0,10.34,1
254,2,5,8,4,87.5,77.0,694.8,5.0,22.3,46,4.0,0.0,0.0,1
255,8,6,8,6,94.2,117.2,581.1,11.0,23.9,41,2.2,0.0,8.02,1
256,4,3,8,6,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.68,1
257,3,4,8,6,91.8,170.9,692.3,13.7,20.6,59,0.9,0.0,0.0,1
258,7,4,8,6,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,1.38,1
259,2,4,8,1,93.6,97.9,542.0,14.4,28.3,32,4.0,0.0,8.85,1
260,3,4,8,5,91.6,112.4,573.0,8.9,11.2,84,7.6,0.0,3.3,1
261,2,4,8,5,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,4.25,1
262,6,3,8,5,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,1.56,1
263,4,4,8,5,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54,1
264,4,4,8,2,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79,1
265,6,5,8,2,94.3,131.7,607.1,22.7,19.4,55,4.0,0.0,0.17,1
266,2,2,8,2,92.1,152.6,658.2,14.3,23.7,24,3.1,0.0,0.0,1
267,3,4,8,2,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,0.0,1
268,4,4,8,2,92.1,152.6,658.2,14.3,19.1,53,2.7,0.0,4.4,1
269,2,2,8,2,92.1,152.6,658.2,14.3,21.8,56,3.1,0.0,0.52,1
270,8,6,8,2,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,9.27,1
271,2,5,8,2,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,3.09,1
272,4,6,12,7,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0,8.98,1
273,8,6,12,3,84.0,27.8,354.6,5.3,5.1,61,8.0,0.0,11.19,1
274,4,6,12,4,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,5.38,1
275,4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,17.85,1
276,3,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,10.73,1
277,4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,22.03,2
278,4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,9.77,1
279,4,6,12,5,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,9.27,1
280,6,5,12,2,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,24.77,2
281,6,3,2,7,84.9,27.5,353.5,3.4,4.2,51,4.0,0.0,0.0,1
282,3,4,2,3,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,1.1,1
283,5,4,2,5,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0,24.24,2
284,2,5,7,7,93.9,169.7,411.8,12.3,23.4,40,6.3,0.0,0.0,1
285,7,6,7,3,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0.0,1
286,7,4,7,6,91.6,104.2,474.9,9.0,22.1,49,2.7,0.0,0.0,1
287,7,4,7,6,91.6,104.2,474.9,9.0,24.2,32,1.8,0.0,0.0,1
288,7,4,7,6,91.6,104.2,474.9,9.0,24.3,30,1.8,0.0,0.0,1
289,2,5,7,6,91.6,104.2,474.9,9.0,18.7,53,1.8,0.0,0.0,1
290,9,4,7,6,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,8.0,1
291,4,5,7,5,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,2.64,1
292,7,6,7,2,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,86.45,4
293,8,6,7,2,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,6.57,1
294,7,5,6,7,93.1,180.4,430.8,11.0,22.2,48,1.3,0.0,0.0,1
295,6,4,6,7,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.9,1
296,8,6,6,7,90.4,89.5,290.8,6.4,15.4,45,2.2,0.0,0.0,1
297,8,6,6,3,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0,1
298,6,5,6,6,53.4,71.0,233.8,0.4,10.6,90,2.7,0.0,0.0,1
299,6,5,6,1,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0,0.0,1
